,NOX,RM,DIS,RAD,TAX,PTRATIO,B,MEDV,nCRIM,nZN,nINDUS,nCHAS,nAGE,nLSTAT
493,0.585,5.707,2.3817,6,391,19.2,396.9,21.8,0.17331,0.0,9.69,0.0,54.0,12.01
494,0.585,5.926,2.3817,6,391,19.2,396.9,24.5,0.27957,0.0,9.69,0.0,42.6,13.59
495,0.585,5.67,2.7986,6,391,19.2,393.29,23.1,0.17899,0.0,9.69,0.0,28.8,17.6
496,0.585,5.39,2.7986,6,391,19.2,396.9,19.7,0.2896,0.0,9.69,0.0,72.9,21.14
497,0.585,5.794,2.8927,6,391,19.2,396.9,18.3,0.26838,0.0,9.69,0.0,70.6,14.1
498,0.585,6.019,2.4091,6,391,19.2,396.9,21.2,0.23912,0.0,9.69,0.0,65.3,12.92
499,0.585,5.569,2.3999,6,391,19.2,395.77,17.5,0.17783,0.0,9.69,0.0,73.5,15.1
500,0.585,6.027,2.4982,6,391,19.2,396.9,16.8,0.22438,0.0,9.69,0.0,79.7,14.33
501,0.573,6.593,2.4786,1,273,21.0,391.99,22.4,0.06263,0.0,11.93,0.0,69.1,12.225951737707051
502,0.573,6.12,2.2875,1,273,21.0,396.9,20.6,0.04527,0.0,11.93,0.0,76.7,9.08
503,0.573,6.976,2.1675,1,273,21.0,396.9,23.9,0.06076,0.0,11.93,0.0,91.0,5.64
504,0.573,6.794,2.3889,1,273,21.0,393.45,22.0,0.10959,0.0,11.93,0.0,89.3,6.48
